state,year,month,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Kentucky,2020,12,2.221794871794872,-11.0,14.3,13.654487179487178,4.5,29.0,65.24358974358974,28,100
Kentucky,2021,1,1.792741935483871,-7.1,18.8,10.431720430107527,0.0,25.9,75.81720430107526,32,100
Kentucky,2021,2,0.71875,-10.8,19.2,11.04970238095238,1.3,30.3,72.14285714285714,31,100
Kentucky,2021,3,9.75712365591398,-4.4,22.0,11.666129032258064,0.4,26.4,64.93951612903226,27,100
Kentucky,2021,4,11.915833333333333,-4.2,26.7,10.887916666666667,0.4,30.0,67.325,29,100
Kentucky,2021,5,16.92244623655914,3.6,32.6,9.298387096774194,0.4,31.4,65.60483870967742,22,100
Kentucky,2021,6,22.844722222222224,10.8,33.3,9.326805555555556,0.4,21.1,74.175,30,100
Kentucky,2021,7,23.999327956989248,14.2,33.8,8.186693548387096,0.4,20.0,76.65591397849462,28,100
Kentucky,2021,8,24.574193548387097,15.2,34.0,7.306451612903226,0.7,18.6,76.49596774193549,29,100
Kentucky,2021,9,20.48861111111111,9.5,30.2,8.690277777777778,0.7,20.3,76.75555555555556,36,100
Kentucky,2021,10,16.795026881720432,3.4,27.8,9.99260752688172,1.3,23.1,77.60215053763442,33,100
Kentucky,2021,11,6.46,-4.7,20.5,10.256527777777778,0.5,26.6,68.2,35,100
Kentucky,2021,12,8.747043010752689,-3.5,19.5,11.909543010752689,0.0,31.7,75.69220430107526,27,100
Kentucky,2022,1,-0.47258064516129034,-15.8,17.8,11.151209677419354,0.5,26.3,67.48521505376344,9,100
Kentucky,2022,2,3.709077380952381,-7.8,18.0,12.102380952380953,0.0,35.4,65.73363095238095,27,100
Kentucky,2022,3,8.940994623655914,-9.7,24.0,13.256586021505376,1.1,33.8,63.30107526881721,27,100
Kentucky,2022,4,12.029722222222222,-1.6,27.7,11.905000000000001,0.4,29.5,67.87083333333334,25,100
Kentucky,2022,5,19.816935483870967,8.1,31.2,10.93266129032258,0.7,25.5,71.4274193548387,24,100
Kentucky,2022,6,23.730833333333333,12.8,35.9,8.802083333333334,0.4,25.1,63.080555555555556,18,100
Kentucky,2022,7,25.511021505376345,17.4,34.8,8.582795698924732,0.0,18.9,73.36827956989248,26,100
Kentucky,2022,8,23.843145161290323,14.4,33.5,7.672177419354839,0.4,19.5,75.95698924731182,32,100
