state,date,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Delaware,2025-12-23,3.0708333333333333,0.4,5.3,11.954166666666666,5.4,16.8,68.70833333333333,52,91
Delaware,2025-12-24,6.260416666666667,3.3,9.9,17.095833333333335,5.4,29.5,66.91666666666667,35,88
Delaware,2025-12-25,4.1625000000000005,0.6,9.9,12.237499999999999,5.2,21.8,69.0,50,84
District of Columbia,2025-12-22,1.3458333333333332,-3.0,6.7,7.691666666666666,2.9,13.6,52.708333333333336,29,69
District of Columbia,2025-12-23,4.104166666666667,2.0,7.5,8.0875,0.4,14.2,71.29166666666667,59,88
District of Columbia,2025-12-24,8.05625,5.3,12.2,11.645833333333334,3.2,21.8,65.52083333333333,31,88
District of Columbia,2025-12-25,6.054166666666667,1.6,13.1,7.554166666666667,3.4,13.5,69.91666666666667,56,80
Florida,2025-12-22,19.158333333333335,14.5,25.5,15.545833333333334,9.8,24.9,79.79166666666667,52,95
Florida,2025-12-23,20.116666666666667,16.3,25.3,10.683333333333332,6.5,17.0,79.79166666666667,50,95
Florida,2025-12-24,18.372916666666665,13.1,24.6,7.0874999999999995,2.9,11.2,78.27083333333333,50,98
Florida,2025-12-25,18.3125,13.6,24.2,6.6000000000000005,3.4,9.6,77.25,51,95
Georgia,2025-12-22,13.424999999999999,10.1,16.8,11.733333333333334,5.3,15.1,36.291666666666664,17,68
Georgia,2025-12-23,12.641666666666666,8.5,21.0,7.791666666666667,0.6,13.9,52.541666666666664,33,71
Georgia,2025-12-24,16.116666666666667,11.0,24.7,9.55625,3.3,12.3,76.10416666666667,47,92
Georgia,2025-12-25,16.599999999999998,12.1,24.5,7.691666666666666,2.7,14.8,78.04166666666667,47,95
Hawaii,2025-12-22,25.829166666666666,25.4,26.6,21.279166666666665,8.8,36.5,72.875,69,77
Hawaii,2025-12-23,25.166666666666668,24.1,26.7,30.916666666666668,11.4,39.4,78.08333333333333,66,84
Hawaii,2025-12-24,24.87708333333333,24.3,26.0,33.65,20.4,41.8,67.70833333333333,57,75
Hawaii,2025-12-25,24.766666666666666,24.5,25.4,30.745833333333334,19.6,41.8,61.291666666666664,55,67
Idaho,2025-12-22,3.658333333333333,2.5,5.1,5.3999999999999995,1.6,10.3,88.875,66,99
Idaho,2025-12-23,3.1374999999999997,0.4,7.3,3.1166666666666667,1.1,5.5,78.375,64,93
Idaho,2025-12-24,0.9874999999999999,-3.4,6.9,3.8958333333333335,0.0,8.6,81.25,68,98
Idaho,2025-12-25,2.8874999999999997,-0.9,5.2,3.845833333333333,0.0,9.1,85.54166666666667,72,99
Illinois,2025-12-22,1.55,-1.6,7.8,14.083333333333334,8.5,18.9,59.75,43,72
Illinois,2025-12-23,6.579166666666667,3.6,12.9,12.833333333333334,7.2,15.7,81.04166666666667,57,96
