state,year,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Illinois,2024,12.803665755919853,-24.6,34.2,14.459164389799636,0.4,41.2,68.57069672131148,17,100
Illinois,2025,11.867183867968388,-21.6,32.7,13.294566480706647,0.0,43.1,70.01383077638307,19,100
Indiana,2020,-1.073397435897436,-11.4,10.1,14.326923076923077,4.7,26.5,65.86858974358974,32,97
Indiana,2021,12.483869863013698,-21.1,33.5,11.742751141552512,0.0,39.6,71.26061643835617,24,100
Indiana,2022,11.820045662100457,-23.5,34.7,12.459360730593607,0.0,39.3,67.4708904109589,17,100
Indiana,2023,12.887180365296803,-11.0,34.2,11.785251141552513,0.0,40.6,68.21472602739726,14,100
Indiana,2024,13.153369763205829,-19.7,33.8,11.805806010928961,0.2,45.5,70.13217213114754,23,100
Indiana,2025,12.31472570897257,-21.0,35.8,10.293468154346815,0.0,35.9,70.56956066945607,13,100
Iowa,2020,-5.764743589743589,-16.0,2.0,14.40224358974359,1.1,29.4,73.30128205128206,27,98
Iowa,2021,10.740844748858448,-28.0,38.0,15.625570776255708,0.4,66.4,67.89326484018265,18,100
Iowa,2022,9.153390410958904,-28.8,35.3,16.43173515981735,0.5,49.3,66.30216894977168,12,100
Iowa,2023,11.030639269406391,-26.8,37.6,14.918367579908676,0.4,43.7,66.76780821917808,12,100
Iowa,2024,11.28386839708561,-30.9,33.9,15.565243624772314,0.3,55.5,68.30976775956285,13,100
Iowa,2025,10.392451185495117,-25.2,32.7,14.177429102742911,0.0,47.8,71.38348442584844,15,100
Kansas,2020,1.0384615384615385,-9.2,12.2,13.89647435897436,3.3,28.3,67.6923076923077,22,99
Kansas,2021,14.04615296803653,-25.8,38.5,15.724417808219178,0.4,60.0,64.0255707762557,13,100
Kansas,2022,13.417431506849315,-21.0,37.0,16.359474885844747,0.4,49.7,58.03961187214612,8,100
Kansas,2023,14.311152968036529,-13.1,39.8,14.823561643835616,0.5,46.9,62.17009132420091,6,100
Kansas,2024,14.385359744990893,-23.9,37.7,15.388627049180329,0.0,53.6,64.5558970856102,13,100
Kansas,2025,13.276627150162716,-24.1,34.3,16.859437470943746,0.2,59.9,69.47716178521618,10,100
Kentucky,2020,2.221794871794872,-11.0,14.3,13.654487179487178,4.5,29.0,65.24358974358974,28,100
Kentucky,2021,13.840068493150685,-10.8,34.0,9.908972602739727,0.0,31.7,72.63207762557077,22,100
Kentucky,2022,13.602979452054795,-21.5,35.9,10.502762557077626,0.0,35.4,67.9068493150685,9,100
